size,time (ms)
3,134
3,49
3,52
3,57
3,48
3,46
3,50
3,53
3,57
3,50
3,46
3,45
3,46
3,45
3,47
3,53
3,46
3,54
3,48
3,51
3,45
3,48
3,43
3,47
3,46
3,50
3,44
3,47
3,45
3,49
3,45
3,45
3,45
3,50
3,49
3,50
3,47
3,45
3,51
3,51
3,51
3,53
3,58
3,56
3,57
3,64
3,51
3,56
3,61
3,58
3,56
3,57
3,58
3,52
3,57
3,55
3,51
3,52
3,45
3,48
3,46
3,45
3,53
3,43
3,43
3,44
3,45
3,47
3,44
3,48
3,48
3,45
3,46
3,44
3,46
3,45
3,45
3,45
3,47
3,47
3,44
3,45
3,46
3,43
3,44
3,54
3,52
3,47
3,44
3,55
3,51
3,43
3,47
3,44
3,53
3,46
3,44
3,45
3,43
3,52
5,73
5,73
5,68
5,78
5,83
5,67
5,74
5,65
5,69
5,72
5,82
5,69
5,67
5,72
5,78
5,66
5,79
5,74
5,69
5,69
5,71
5,71
5,66
5,66
5,71
5,71
5,77
5,64
5,66
5,66
5,73
5,67
5,65
5,73
5,71
5,67
5,70
5,73
5,82
5,67
5,72
5,67
5,93
5,64
5,71
5,69
5,72
5,74
5,76
5,68
5,68
5,68
5,69
5,67
5,66
5,71
5,72
5,74
5,69
5,72
5,81
5,65
5,70
5,69
5,72
5,71
5,65
5,76
5,72
5,66
5,70
5,64
5,71
5,68
5,69
5,68
5,75
5,69
5,72
5,64
5,68
5,67
5,65
5,69
5,67
5,70
5,80
5,64
5,75
5,72
5,74
5,65
5,66
5,80
5,69
5,69
5,68
5,75
5,84
5,68
7,98
7,94
7,125
7,122
7,121
7,95
7,97
7,95
7,126
7,95
7,96
7,97
7,96
7,100
7,113
7,92
7,109
7,94
7,92
7,121
7,105
7,147
7,121
7,102
7,103
7,103
7,94
7,95
7,95
7,98
7,96
7,112
7,95
7,95
7,99
7,97
7,114
7,92
7,94
7,96
7,102
7,115
7,98
7,93
7,101
7,94
7,98
7,96
7,128
7,95
7,100
7,99
7,92
7,93
7,98
7,105
7,94
7,106
7,101
7,92
7,93
7,97
7,94
7,95
7,109
7,95
7,93
7,103
7,96
7,100
7,91
7,92
7,93
7,103
7,95
7,91
7,97
7,110
7,139
7,92
7,99
7,110
7,101
7,96
7,115
7,99
7,94
7,100
7,93
7,99
7,112
7,159
7,126
7,127
7,124
7,130
7,110
7,129
7,125
7,116
9,171
9,144
9,129
9,178
9,128
9,190
9,159
9,170
9,153
9,195
9,177
9,177
9,170
9,139
9,129
9,132
9,161
9,130
9,147
9,133
9,141
9,157
9,130
9,135
9,140
9,125
9,155
9,125
9,141
9,160
9,158
9,119
9,137
9,136
9,124
9,171
9,158
9,129
9,127
9,127
9,161
9,121
9,125
9,147
9,138
9,128
9,140
9,142
9,146
9,128
9,130
9,149
9,142
9,138
9,123
9,154
9,121
9,135
9,133
9,144
9,123
9,166
9,135
9,130
9,124
9,134
9,130
9,125
9,133
9,137
9,147
9,137
9,127
9,135
9,185
9,146
9,166
9,138
9,127
9,131
9,134
9,124
9,141
9,123
9,128
9,135
9,134
9,128
9,132
9,125
9,128
9,142
9,129
9,126
9,154
9,122
9,125
9,131
9,128
9,129
11,214
11,361
11,172
11,156
11,187
11,183
11,174
11,162
11,164
11,180
11,265
11,378
11,151
11,170
11,168
11,177
11,170
11,170
11,296
11,203
11,167
11,171
11,166
11,258
11,176
11,171
11,151
11,159
11,157
11,216
11,215
11,179
11,167
11,190
11,160
11,186
11,154
11,166
11,175
11,163
11,155
11,170
11,200
11,261
11,158
11,220
11,174
11,161
11,205
11,204
11,167
11,185
11,196
11,162
11,187
11,237
11,174
11,187
11,177
11,189
11,164
11,227
11,168
11,164
11,156
11,220
11,183
11,193
11,166
11,168
11,180
11,196
11,179
11,169
11,215
11,176
11,177
11,213
11,165
11,214
11,168
11,164
11,179
11,201
11,188
11,186
11,160
11,181
11,174
11,175
11,187
11,180
11,174
11,162
11,188
11,155
11,153
11,160
11,213
11,372
13,216
13,222
13,266
13,573
13,398
13,320
13,283
13,227
13,275
13,294
13,259
13,204
13,366
13,299
13,192
13,439
13,216
13,393
13,264
13,285
13,267
13,334
13,230
13,245
13,308
13,278
13,311
13,369
13,522
13,333
13,229
13,326
13,279
13,225
13,242
13,578
13,366
13,382
13,203
13,296
13,283
13,227
13,254
13,221
13,504
13,432
13,288
13,250
13,258
13,248
13,397
13,199
13,329
13,220
13,264
13,298
13,245
13,310
13,421
13,264
13,335
13,231
13,205
13,272
13,230
13,235
13,198
13,220
13,254
13,216
13,454
13,264
13,230
13,341
13,196
13,334
13,228
13,253
13,199
13,236
13,274
13,271
13,330
13,481
13,480
13,202
13,230
13,263
13,380
13,361
13,267
13,203
13,292
13,210
13,324
13,193
13,300
13,202
13,267
13,229
15,310
15,578
15,536
15,409
15,686
15,305
15,366
15,715
15,410
15,290
15,386
15,966
15,559
15,469
15,320
15,374
15,264
15,558
15,348
15,237
15,282
15,468
15,755
15,744
15,229
15,590
15,400
15,575
15,481
15,399
15,325
15,581
15,479
15,361
15,343
15,346
15,406
15,820
15,430
15,773
15,914
15,645
15,669
15,551
15,617
15,982
15,281
15,857
15,472
15,775
15,707
15,949
15,316
15,689
15,942
15,474
15,359
15,425
15,397
15,533
15,559
15,991
15,884
15,443
15,334
15,412
15,594
15,519
15,244
15,615
15,803
15,374
15,304
15,453
15,730
15,483
15,355
15,283
15,862
15,334
15,387
15,317
15,448
15,304
15,763
15,235
15,357
15,306
15,443
15,411
